sample	unit	platform	fq1	fq2
D2_F2_152	D2_F2_152_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_152/D2_F2_152_NKD180900418-AK9793-AK9816_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_152/D2_F2_152_NKD180900418-AK9793-AK9816_H7NHLDSXX_L1_2.fq.gz
D2_F2_152	D2_F2_152_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_152/D2_F2_152_NKD180900418-D2_F2_152_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_152/D2_F2_152_NKD180900418-D2_F2_152_H7LYHDSXX_L1_2.fq.gz
D2_F2_153	D2_F2_153_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_153/D2_F2_153_NKD180900418-AK9794-AK9810_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_153/D2_F2_153_NKD180900418-AK9794-AK9810_H7NHLDSXX_L1_2.fq.gz
D2_F2_153	D2_F2_153_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_153/D2_F2_153_NKD180900418-D2_F2_153_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_153/D2_F2_153_NKD180900418-D2_F2_153_H7LYHDSXX_L1_2.fq.gz
D2_F2_154	D2_F2_154_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_154/D2_F2_154_NKD180900418-AK9794-AK9811_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_154/D2_F2_154_NKD180900418-AK9794-AK9811_H7NHLDSXX_L1_2.fq.gz
D2_F2_154	D2_F2_154_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_154/D2_F2_154_NKD180900418-D2_F2_154_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_154/D2_F2_154_NKD180900418-D2_F2_154_H7LYHDSXX_L1_2.fq.gz
D2_F2_158	D2_F2_158_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_158/D2_F2_158_NKD180900418-AK9794-AK4717_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_158/D2_F2_158_NKD180900418-AK9794-AK4717_H7NHLDSXX_L1_2.fq.gz
D2_F2_158	D2_F2_158_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_158/D2_F2_158_NKD180900418-D2_F2_158_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_158/D2_F2_158_NKD180900418-D2_F2_158_H7LYHDSXX_L1_2.fq.gz
D2_F2_159	D2_F2_159_orZ	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_159/D2_F2_159_NKD180900418-AK9794-AK9815_H7NHLDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-orZgx0s6/D2_F2_159/D2_F2_159_NKD180900418-AK9794-AK9815_H7NHLDSXX_L1_2.fq.gz
D2_F2_159	D2_F2_159_9fC	ILLUMINA	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_159/D2_F2_159_NKD180900418-D2_F2_159_H7LYHDSXX_L1_1.fq.gz	/home/norman/Analysis/datasets/IAEA_sorghum_F2s_2018/Novogen_download/customer-9fC5qAZT/D2_F2_159/D2_F2_159_NKD180900418-D2_F2_159_H7LYHDSXX_L1_2.fq.gz
